status,stop_id,city,direction,name,cross,routes,owl_routes,street,position,x,y,latitude,longitude
In Service,2237,CHICAGO,SB,King Drive & Anthony,ANTHONY,3,,KING DRIVE,FS,359687.4076028092,566865.3047861268,41.770534,-87.61547
In Service,2238,CHICAGO,SB,King Drive & 69th Street,69TH STREET,3,,KING DRIVE,NS,359690.92918777704,566742.2633248441,41.769426,-87.61544
In Service,2239,CHICAGO,SB,King Drive & 70th Street,70TH STREET,3,,KING DRIVE,FS,359699.7094959799,566527.18482324,41.767489,-87.615356
In Service,2240,CHICAGO,SB,King Drive & 71st Street,71ST STREET,3,,KING DRIVE,FS,359704.2400889746,566313.1816671785,41.765562,-87.615323
In Service,2241,CHICAGO,SB,King Drive & 72nd Street,72ND STREET,3,,KING DRIVE,FS,359705.67056985514,566111.9262898833,41.76375,-87.615326
In Service,2242,CHICAGO,SB,King Drive & 73rd Street,73RD STREET,3,,KING DRIVE,FS,359710.71476198843,565906.1470804829,41.761897,-87.615286
In Service,2243,CHICAGO,SB,King Drive & 74th Street,74TH STREET,3,,KING DRIVE,FS,359714.96150536643,565706.2482333506,41.760097,-87.615255
In Service,2244,CHICAGO,SB,King Drive & 75th Street,75TH STREET,3,,KING DRIVE,FS,359720.75189309544,565490.8118958058,41.758157,-87.615207
In Service,2245,CHICAGO,SB,King Drive & 76th Street,76TH STREET,3,,KING DRIVE,FS,359724.97538768104,565303.6865531374,41.756472,-87.615175
In Service,2246,CHICAGO,SB,King Drive & 77th Street,77TH STREET,3,,KING DRIVE,FS,359732.4050232558,565101.1486756171,41.754648,-87.615106
In Service,2247,CHICAGO,SB,King Drive & 78th Street,78TH STREET,3,,KING DRIVE,FS,359735.1978412833,564896.1285148724,41.752802,-87.615093
In Service,2249,CHICAGO,SB,King Drive & 80th Street,80TH STREET,3,,KING DRIVE,NS,359749.11551489413,564524.2564637898,41.749453,-87.614963
In Service,2250,CHICAGO,SB,King Drive & 81st Street,81ST STREET,3,,KING DRIVE,FS,359752.91125040385,564288.8104850913,41.747333,-87.614941
In Service,2251,CHICAGO,SB,King Drive & 82nd Street,82ND STREET,3,,KING DRIVE,FS,359759.43068957323,564085.8210327193,41.745505,-87.614883
In Service,2252,CHICAGO,SB,King Drive & 83rd Street,83RD STREET,3,,KING DRIVE,FS,359770.3660695363,563891.9766100289,41.743759,-87.614771
In Service,2253,CHICAGO,SB,King Drive & 84th Street,84TH STREET,3,,KING DRIVE,FS,359773.8731951439,563681.1869336908,41.741861,-87.61475
In Service,2254,CHICAGO,SB,King Drive & 85th Street,85TH STREET,3,,KING DRIVE,FS,359777.45955001377,563480.8389638538,41.740057,-87.614727
In Service,2255,CHICAGO,SB,King Drive & 86th Street,86TH STREET,3,,KING DRIVE,FS,359783.13121975283,563279.8420242663,41.738247,-87.614679
In Service,2256,CHICAGO,SB,King Drive & 87th Street,87TH STREET,3,,KING DRIVE,FS,359792.2187888727,563068.3216300056,41.736342,-87.614591
In Service,2257,CHICAGO,SB,King Drive & 88th Street,88TH STREET,3,,KING DRIVE,FS,359798.8808499014,562868.3327587856,41.734541,-87.614531
In Service,2258,CHICAGO,SB,King Drive & 89th Street,89TH STREET,3,,KING DRIVE,FS,359803.4051002177,562665.3270954578,41.732713,-87.614497
In Service,2259,CHICAGO,SB,King Drive & 90th Street,90TH STREET,3,,KING DRIVE,FS,359808.60309043765,562471.3241206184,41.730966,-87.614454
In Service,2260,CHICAGO,SB,King Drive & 91st Street,91ST STREET,3,,KING DRIVE,FS,359817.0979605785,562271.1285965455,41.729163,-87.614372
In Service,2261,CHICAGO,SB,King Drive & Burnside,BURNSIDE,3,,KING DRIVE,FT,359821.53811053454,562018.4723521149,41.726888,-87.614344
In Service,2262,CHICAGO,SB,King Drive & 93rd Street,93RD STREET,3,,KING DRIVE,FS,359827.88480555784,561856.3573883924,41.725428,-87.614284
In Service,2263,CHICAGO,SB,King Drive & 94th Street,94TH STREET,3,,KING DRIVE,FS,359834.24985884887,561642.2600294092,41.7235,-87.614229
In Service,2264,CHICAGO,EB,95th Street & King Drive,KING DRIVE,"3,X3",,95TH STREET,FS,359882.42707396834,561453.5037762328,41.721797,-87.613669
In Service,2265,CHICAGO,EB,95th Street & Eberhart,EBERHART,"3,N5,95E,111",N5,95TH STREET,NT,360035.38854596775,561462.0039185723,41.721862,-87.61183
In Service,2266,CHICAGO,EB,95th Street & St. Lawrence,ST. LAWRENCE,"3,N5,95E,100,111",N5,95TH STREET,NS,360224.0005961456,561466.3640127301,41.721887,-87.609563
In Service,2268,CHICAGO,NB,State & 94th Street,94TH STREET,29,,STATE,NS,359044.73310961976,561631.3765100439,41.723461,-87.623718
In Service,2269,CHICAGO,NB,State & 93rd Street,93RD STREET,29,,STATE,NS,359038.89923716563,561834.3711334566,41.725289,-87.623768
In Service,2270,CHICAGO,NB,State & 92nd Street,92ND STREET,29,,STATE,NS,359033.30416181975,562038.7006744082,41.727129,-87.623815
In Service,2271,CHICAGO,NB,State & 91st Street,91ST STREET,29,,STATE,NS,359026.93949758896,562235.470920156,41.728901,-87.623872
In Service,2273,CHICAGO,NB,State & 89th Street,89TH STREET,29,,STATE,NS,359015.1431178822,562647.1243201739,41.732608,-87.623973
In Service,2274,CHICAGO,NB,State & 88th Street,88TH STREET,29,,STATE,NS,359008.9088153592,562848.3387831681,41.73442,-87.624028
In Service,2276,CHICAGO,NB,State & 86th Street,86TH STREET,29,,STATE,NS,359007.3951188466,563254.0793280092,41.738073,-87.624006
In Service,2277,CHICAGO,NB,State & 85th Street,85TH STREET,29,,STATE,NS,358992.79582681804,563460.8898138136,41.739936,-87.624161
In Service,2278,CHICAGO,NB,State & 84th Street,84TH STREET,29,,STATE,NS,358987.4004866872,563661.3339276714,41.741741,-87.624206
In Service,2279,CHICAGO,NB,State & 83rd Street,83RD STREET,29,,STATE,NS,358980.30699599226,563855.8771863241,41.743493,-87.624272
In Service,2280,CHICAGO,NB,8237 S State,8237 SOUTH,29,,STATE,MB,358978.53346226225,563970.1577819342,41.744522,-87.624282
In Service,2281,CHICAGO,NB,State & 82nd Street,82ND STREET,29,,STATE,NS,358973.1478589718,564058.4172983998,41.745317,-87.624338
In Service,2282,CHICAGO,NB,State & 81st Street,81ST STREET,29,,STATE,NS,358967.9540974849,564264.7501886286,41.747175,-87.62438
In Service,2283,CHICAGO,NB,State & 80th Street,80TH STREET,29,,STATE,NS,358962.5576220526,564465.4166928327,41.748982,-87.624425
In Service,2285,CHICAGO,NB,State & 78th Street,78TH STREET,"29,75",,STATE,NS,358948.9985688295,564869.3928821888,41.75262,-87.624548
In Service,2287,CHICAGO,NB,State & 76th Street,76TH STREET,"29,75",,STATE,NS,358940.50525236945,565274.4107277927,41.756267,-87.62461
In Service,2288,CHICAGO,NB,State & 75th Street,75TH STREET,"29,75",,STATE,NS,358935.17450684676,565467.1918116433,41.758003,-87.624655
In Service,2289,CHICAGO,NB,State & 74th Street,74TH STREET,29,,STATE,NS,358930.11881079024,565677.0806703098,41.759893,-87.624695
In Service,2291,CHICAGO,NB,State & 72nd Street,72ND STREET,29,,STATE,NS,358919.53642577596,566083.4147067724,41.763552,-87.624782
In Service,2292,CHICAGO,NB,State & 71st Street,71ST STREET,29,,STATE,NS,358917.1541332248,566271.6662673377,41.765247,-87.624792
In Service,2293,CHICAGO,NB,State & 70th Street,70TH STREET,29,,STATE,NS,358924.72580014274,566493.2111617557,41.767241,-87.624679
In Service,2294,CHICAGO,NB,State & 69th Street,69TH STREET,29,,STATE,NS,358908.00680955907,566695.6733494904,41.769065,-87.62486
In Service,2295,CHICAGO,NB,State & 68th Street,68TH STREET,29,,STATE,NS,358902.53344069276,566895.7846050559,41.770867,-87.624906
In Service,2296,CHICAGO,NB,State & Marquette Rd,MARQUETTE RD,29,,STATE,FS,358894.3616072672,567150.9667012497,41.773165,-87.624979
In Service,2297,CHICAGO,NB,State & 66th Street,66TH STREET,29,,STATE,NT,358889.7635494106,567295.3258392172,41.774465,-87.62502
In Service,2298,CHICAGO,NB,State & 65th Street,65TH STREET,29,,STATE,NT,358881.4837967258,567523.2939114295,41.776518,-87.625097
In Service,2299,CHICAGO,NB,State & 64th Street,64TH STREET,29,,STATE,NT,358874.7339078112,567636.2012749274,41.777535,-87.625167
In Service,2300,CHICAGO,NB,State & 63rd Street,63RD STREET,29,,STATE,FS,358870.58232127386,567948.5091923616,41.780347,-87.625186
